Image ID,Method 1,Method 2,Result
20,5,6,2
86,2,9,1
15,4,6,1
87,1,12,2
68,3,10,1
18,8,10,2
60,3,14,2
62,5,11,1
8,7,11,2
32,13,14,2
93,5,11,1
77,10,13,2
46,6,8,1
22,5,13,2
41,3,14,2
48,5,14,2
76,8,12,2
37,7,8,2
95,10,11,2
12,10,11,2
55,5,14,2
79,10,12,2
63,7,13,2
49,9,13,1
73,1,12,2
64,5,14,2
57,12,13,2
65,2,14,2
88,1,6,1
40,9,13,2
11,7,11,2
69,4,5,2
75,9,12,2
96,3,7,1
30,3,8,2
95,6,14,2
53,11,13,2
58,11,12,2
3,5,10,1
20,12,13,1
85,9,14,2
73,9,11,2
13,7,9,1
90,2,9,2
40,12,14,2
76,4,8,2
97,3,11,1
21,8,14,2
94,7,8,2
29,1,2,1
99,4,10,1
10,2,12,2
84,1,12,2
28,3,13,2
32,3,6,1
69,1,12,2
43,4,13,1
47,2,5,2
2,1,2,1
7,2,4,2
78,2,9,2
15,3,13,1
48,3,10,2
74,1,14,2
82,6,10,1
92,2,9,2
54,5,14,2
4,9,13,1
72,1,5,2
38,5,14,1
89,3,11,2
36,10,12,1
93,3,6,2
16,2,10,1
88,3,4,1
85,2,6,2
31,1,5,2
97,3,12,1
55,5,9,1
41,4,9,2
46,3,10,2
54,6,9,2
43,3,14,2
96,8,9,2
4,4,11,2
8,1,3,2
62,4,11,1
61,1,6,1
3,2,8,1
13,2,5,1
71,5,12,1
19,2,14,2
44,9,10,2
75,6,8,1
12,4,7,1
29,10,13,2
35,1,14,2
48,5,7,2
30,4,12,2
5,9,12,1
95,1,5,1
23,5,7,1
94,2,10,1
59,2,7,1
24,6,10,1
90,2,12,2
59,3,7,2
63,1,3,2
98,8,12,2
6,9,11,2
25,2,11,2
41,4,10,2
23,1,11,1
3,7,13,2
49,2,12,2
68,2,3,2
34,12,13,1
75,6,14,2
69,4,11,1
71,5,12,1
29,2,12,2
80,9,10,1
28,1,9,2
24,5,11,1
93,10,13,2
33,2,10,2
7,1,5,1
1,7,12,2
82,2,9,2
95,2,7,2
72,5,14,1
13,10,14,1
35,8,10,1
45,4,9,1
11,7,11,2
26,4,13,1
18,7,14,1
55,13,14,1
20,4,7,2
48,2,10,1
8,6,10,2
100,4,11,1
100,5,13,2
3,3,14,2
16,4,9,1
77,5,8,2
9,1,10,2
41,2,3,1
31,2,6,2
81,2,11,1
21,1,8,2
25,8,14,1
82,6,8,2
32,1,5,2
68,5,12,1
44,3,4,2
30,1,14,2
33,2,14,2
53,6,12,1
29,2,13,2
78,1,14,2
87,5,11,2
18,1,3,2
90,11,12,2
83,6,11,1
47,9,13,1
62,6,14,1
23,4,11,2
96,5,6,2
45,7,14,1
46,6,12,2
67,1,13,2
28,2,9,1
2,7,14,2
8,2,10,2
74,10,14,2
40,10,14,2
93,8,10,1
24,3,13,2
100,4,12,1
59,1,9,2
96,4,5,2
53,3,5,2
38,6,12,1
45,9,13,1
77,5,13,1
63,5,14,2
35,2,9,2
51,11,13,2
62,4,13,2
24,2,6,2
60,2,9,2
85,7,11,2
41,4,8,2
66,3,13,2
43,7,14,1
50,4,12,2
72,2,14,1
97,3,9,1
70,1,5,2
90,4,14,2
64,7,14,2
89,3,14,1
88,12,14,2
12,2,4,1
46,3,10,2
33,5,12,1
99,2,5,2
29,2,9,2
14,3,4,1
58,7,10,1
44,6,9,2
75,8,10,2
30,7,13,1
28,4,6,1
87,9,14,2
13,4,12,2
55,2,7,2
45,3,4,2
56,1,11,2
39,3,14,2
99,2,13,2
83,6,12,2
25,1,2,1
52,10,11,1
63,11,13,1
65,7,8,2
85,5,12,1
31,2,4,2
60,7,8,2
28,7,10,2
