Image ID,Method 1,Method 2,Result
36,5,8,1
34,5,8,1
21,5,8,1
36,5,8,1
33,5,8,1
33,5,8,1
26,5,8,1
32,5,8,1
34,5,8,1
24,5,8,2
23,5,8,2
38,5,8,1
38,5,8,1
21,5,8,1
32,5,8,1
35,5,8,2
39,5,8,2
30,5,8,1
40,5,8,1
30,5,8,1
33,5,8,1
33,5,8,1
34,5,8,1
31,5,8,2
36,5,8,1
21,5,8,1
36,5,8,2
29,5,8,1
36,5,8,2
34,5,8,1
28,5,8,1
22,5,8,2
22,5,8,1
35,5,8,2
32,5,8,2
37,5,8,1
38,5,8,2
23,5,8,2
35,5,8,2
32,5,8,2
29,5,8,2
38,5,8,1
30,5,8,1
27,5,8,1
33,5,8,2
24,6,10,1
23,6,10,2
24,6,10,1
36,6,10,1
28,6,10,1
26,6,10,2
34,6,10,2
26,6,10,2
24,6,10,2
23,6,10,1
24,6,10,1
38,6,10,1
34,6,10,2
33,6,10,1
40,6,10,1
39,6,10,1
22,6,10,2
24,6,10,1
22,6,10,1
23,6,10,2
27,6,10,2
27,6,10,2
30,6,10,1
24,6,10,1
35,6,10,2
38,6,10,1
31,6,10,1
38,6,10,1
28,6,10,1
37,6,10,1
34,6,10,1
21,6,10,1
36,6,10,1
30,6,10,1
39,6,10,2
29,6,10,1
38,6,10,1
32,6,10,2
25,6,10,2
39,6,10,1
31,6,10,1
30,6,10,1
21,6,10,1
39,6,10,1
33,6,10,1
23,4,5,1
24,4,5,1
37,4,5,2
27,4,5,1
31,4,5,1
38,4,5,2
36,4,5,1
23,4,5,1
29,4,5,2
39,4,5,1
40,4,5,1
35,4,5,1
21,4,5,2
33,4,5,2
22,4,5,2
26,4,5,2
25,4,5,2
30,4,5,1
35,4,5,1
31,4,5,1
36,4,5,1
32,4,5,1
26,4,5,2
25,4,5,2
38,4,5,1
24,4,5,2
27,4,5,1
36,4,5,1
35,4,5,1
31,4,5,1
28,4,5,2
24,4,5,2
31,4,5,1
34,4,5,2
28,4,5,1
23,4,5,1
28,4,5,2
38,4,5,2
33,4,5,2
21,4,5,2
32,4,5,1
39,4,5,2
26,4,5,1
21,4,5,2
39,4,5,1
33,2,14,2
33,2,14,2
37,2,14,2
28,2,14,2
22,2,14,2
31,2,14,2
29,2,14,2
21,2,14,2
40,2,14,2
31,2,14,2
30,2,14,2
27,2,14,2
24,2,14,2
32,2,14,2
32,2,14,2
34,2,14,2
32,2,14,2
35,2,14,2
40,2,14,2
28,2,14,2
25,2,14,2
37,2,14,1
37,2,14,2
31,2,14,2
29,2,14,2
27,2,14,2
37,2,14,1
21,2,14,2
23,2,14,2
31,2,14,2
36,2,14,1
29,2,14,2
30,2,14,2
32,2,14,2
32,2,14,2
30,2,14,1
22,2,14,1
29,2,14,1
39,2,14,2
30,2,14,2
27,2,14,2
34,2,14,2
24,2,14,2
39,2,14,2
35,2,14,2
24,2,8,1
25,2,8,1
29,2,8,2
35,2,8,2
30,2,8,2
21,2,8,2
39,2,8,2
32,2,8,2
27,2,8,2
29,2,8,2
24,2,8,2
23,2,8,2
29,2,8,2
38,2,8,1
33,2,8,2
26,2,8,2
23,2,8,2
34,2,8,2
25,2,8,2
39,2,8,2
37,2,8,2
35,2,8,2
38,2,8,1
31,2,8,2
37,2,8,2
37,2,8,2
28,2,8,1
35,2,8,2
21,2,8,2
40,2,8,2
39,2,8,2
30,2,8,2
22,2,8,1
25,2,8,2
37,2,8,2
25,2,8,1
35,2,8,1
40,2,8,2
28,2,8,2
32,2,8,2
36,2,8,2
38,2,8,1
39,2,8,2
21,2,8,2
30,2,8,2
28,7,10,2
38,7,10,2
26,7,10,2
23,7,10,1
39,7,10,2
23,7,10,2
27,7,10,1
25,7,10,2
39,7,10,2
36,7,10,2
22,7,10,1
28,7,10,2
22,7,10,2
24,7,10,2
22,7,10,1
36,7,10,2
35,7,10,2
39,7,10,1
40,7,10,2
28,7,10,1
31,7,10,2
36,7,10,2
35,7,10,2
33,7,10,2
27,7,10,1
30,7,10,1
32,7,10,2
36,7,10,2
21,7,10,2
33,7,10,2
25,7,10,1
26,7,10,2
37,7,10,2
33,7,10,1
29,7,10,2
28,7,10,1
21,7,10,2
36,7,10,2
24,7,10,2
32,7,10,2
30,7,10,1
37,7,10,2
25,7,10,1
22,7,10,1
21,7,10,1
33,5,12,1
36,5,12,1
38,5,12,1
31,5,12,2
37,5,12,1
23,5,12,2
29,5,12,1
27,5,12,2
23,5,12,2
27,5,12,2
22,5,12,2
35,5,12,1
24,5,12,1
26,5,12,2
29,5,12,1
38,5,12,1
22,5,12,1
21,5,12,1
24,5,12,2
29,5,12,2
36,5,12,1
31,5,12,1
35,5,12,1
39,5,12,1
22,5,12,1
32,5,12,1
36,5,12,1
25,5,12,1
24,5,12,1
37,5,12,1
36,5,12,1
37,5,12,1
26,5,12,1
25,5,12,1
26,5,12,2
25,5,12,1
37,5,12,1
29,5,12,1
25,5,12,1
22,5,12,1
37,5,12,1
38,5,12,1
25,5,12,1
25,5,12,1
39,5,12,1
26,4,13,1
35,4,13,2
37,4,13,1
31,4,13,1
28,4,13,1
24,4,13,1
24,4,13,1
31,4,13,1
27,4,13,2
33,4,13,2
32,4,13,2
36,4,13,2
21,4,13,2
38,4,13,2
27,4,13,1
30,4,13,2
38,4,13,2
30,4,13,1
23,4,13,2
31,4,13,2
23,4,13,2
32,4,13,1
31,4,13,2
24,4,13,2
22,4,13,1
25,4,13,2
38,4,13,2
39,4,13,2
23,4,13,2
37,4,13,2
40,4,13,1
38,4,13,1
36,4,13,2
36,4,13,1
29,4,13,2
29,4,13,1
31,4,13,2
22,4,13,1
38,4,13,2
34,4,13,2
40,4,13,2
24,4,13,2
27,4,13,1
34,4,13,2
36,4,13,1
25,2,11,2
40,2,11,1
34,2,11,1
34,2,11,2
37,2,11,1
38,2,11,2
26,2,11,2
25,2,11,2
29,2,11,1
40,2,11,1
27,2,11,2
23,2,11,2
27,2,11,2
39,2,11,2
35,2,11,1
38,2,11,1
39,2,11,2
32,2,11,2
28,2,11,1
29,2,11,2
31,2,11,2
22,2,11,1
32,2,11,2
35,2,11,2
23,2,11,2
26,2,11,2
35,2,11,1
40,2,11,1
39,2,11,1
33,2,11,2
27,2,11,2
27,2,11,1
32,2,11,2
34,2,11,1
23,2,11,2
36,2,11,1
29,2,11,2
28,2,11,2
26,2,11,1
21,2,11,2
25,2,11,2
25,2,11,1
37,2,11,1
40,2,11,2
21,2,11,2
28,1,9,2
30,1,9,2
40,1,9,2
21,1,9,2
22,1,9,2
33,1,9,2
25,1,9,1
39,1,9,2
33,1,9,2
31,1,9,2
21,1,9,2
33,1,9,2
22,1,9,2
30,1,9,2
33,1,9,2
21,1,9,2
25,1,9,2
21,1,9,2
30,1,9,2
32,1,9,2
30,1,9,2
24,1,9,2
22,1,9,1
25,1,9,1
25,1,9,2
25,1,9,2
24,1,9,2
27,1,9,2
24,1,9,2
29,1,9,2
35,1,9,2
37,1,9,2
29,1,9,2
31,1,9,2
31,1,9,2
26,1,9,1
34,1,9,2
31,1,9,2
21,1,9,2
36,1,9,2
37,1,9,2
31,1,9,2
39,1,9,2
35,1,9,2
38,1,9,2
30,7,13,1
21,7,13,2
34,7,13,2
31,7,13,2
39,7,13,2
32,7,13,2
38,7,13,2
24,7,13,2
25,7,13,1
40,7,13,2
39,7,13,2
27,7,13,2
24,7,13,2
21,7,13,2
38,7,13,1
36,7,13,2
33,7,13,2
30,7,13,1
28,7,13,2
24,7,13,2
32,7,13,2
26,7,13,1
25,7,13,1
36,7,13,2
32,7,13,2
37,7,13,1
25,7,13,1
26,7,13,1
34,7,13,2
23,7,13,1
24,7,13,2
33,7,13,1
36,7,13,2
25,7,13,1
39,7,13,2
22,7,13,1
24,7,13,2
35,7,13,2
32,7,13,2
27,7,13,2
21,7,13,2
34,7,13,1
23,7,13,2
37,7,13,2
34,7,13,2
35,1,14,2
30,1,14,2
33,1,14,2
24,1,14,2
32,1,14,2
30,1,14,2
33,1,14,2
25,1,14,2
21,1,14,1
38,1,14,2
27,1,14,2
40,1,14,2
28,1,14,2
21,1,14,2
21,1,14,2
32,1,14,2
29,1,14,2
33,1,14,2
29,1,14,2
24,1,14,2
26,1,14,1
35,1,14,2
31,1,14,2
40,1,14,2
35,1,14,2
39,1,14,1
30,1,14,2
29,1,14,2
25,1,14,2
21,1,14,2
28,1,14,2
28,1,14,2
40,1,14,2
33,1,14,2
29,1,14,2
36,1,14,2
33,1,14,2
21,1,14,2
21,1,14,2
21,1,14,2
22,1,14,2
34,1,14,2
37,1,14,2
27,1,14,2
32,1,14,2
24,5,11,1
37,5,11,1
30,5,11,2
28,5,11,1
26,5,11,1
23,5,11,2
32,5,11,2
36,5,11,1
25,5,11,2
25,5,11,1
29,5,11,1
22,5,11,2
32,5,11,1
30,5,11,2
23,5,11,2
25,5,11,2
31,5,11,2
23,5,11,2
27,5,11,2
24,5,11,2
