Image ID,Method 1,Method 2,Result
54,5,8,2
54,5,8,2
59,5,8,2
59,5,8,2
52,5,8,1
42,5,8,2
48,5,8,2
58,5,8,1
45,5,8,1
49,5,8,2
51,5,8,1
44,5,8,2
50,5,8,2
49,5,8,1
56,5,8,2
51,5,8,1
55,5,8,1
53,5,8,1
58,5,8,2
44,5,8,2
41,5,8,1
60,5,8,2
49,5,8,2
56,5,8,1
55,5,8,2
43,5,8,2
46,5,8,2
56,5,8,2
42,5,8,2
43,5,8,2
59,5,8,2
41,5,8,2
46,5,8,2
51,5,8,1
53,5,8,1
60,5,8,1
44,5,8,1
46,5,8,2
59,5,8,2
43,5,8,2
55,5,8,1
58,5,8,2
53,5,8,1
57,5,8,1
51,6,10,2
54,6,10,2
54,6,10,2
51,6,10,2
43,6,10,2
56,6,10,2
49,6,10,2
47,6,10,2
52,6,10,2
50,6,10,2
57,6,10,2
45,6,10,2
48,6,10,1
41,6,10,2
46,6,10,1
43,6,10,2
43,6,10,2
48,6,10,2
50,6,10,2
44,6,10,2
48,6,10,2
45,6,10,2
44,6,10,2
51,6,10,2
48,6,10,2
55,6,10,2
58,6,10,2
46,6,10,2
47,6,10,2
59,6,10,1
51,6,10,2
47,6,10,1
45,6,10,2
53,6,10,2
58,6,10,1
52,6,10,2
52,6,10,2
60,6,10,2
55,6,10,2
43,6,10,2
51,6,10,2
41,6,10,1
50,6,10,2
51,6,10,2
48,4,5,1
50,4,5,2
49,4,5,2
49,4,5,2
47,4,5,2
47,4,5,1
59,4,5,1
56,4,5,2
45,4,5,1
53,4,5,2
50,4,5,2
55,4,5,2
47,4,5,2
43,4,5,1
43,4,5,2
51,4,5,2
41,4,5,2
58,4,5,1
55,4,5,2
43,4,5,1
48,4,5,1
55,4,5,1
50,4,5,2
45,4,5,1
48,4,5,1
54,4,5,2
49,4,5,2
42,4,5,2
47,4,5,1
52,4,5,2
56,4,5,2
48,4,5,1
50,4,5,1
43,4,5,1
43,4,5,2
58,4,5,2
46,4,5,1
44,4,5,1
51,4,5,2
60,4,5,1
58,4,5,2
44,4,5,1
49,4,5,1
54,4,5,2
48,2,14,1
60,2,14,2
60,2,14,2
46,2,14,1
60,2,14,2
51,2,14,2
52,2,14,2
48,2,14,1
55,2,14,2
58,2,14,2
49,2,14,2
45,2,14,1
42,2,14,1
46,2,14,1
56,2,14,1
49,2,14,2
57,2,14,2
60,2,14,2
44,2,14,2
53,2,14,2
54,2,14,2
45,2,14,1
56,2,14,1
56,2,14,1
49,2,14,2
59,2,14,2
43,2,14,2
53,2,14,2
41,2,14,2
53,2,14,2
41,2,14,1
44,2,14,1
56,2,14,1
57,2,14,2
47,2,14,2
59,2,14,2
55,2,14,2
50,2,14,2
59,2,14,2
54,2,14,2
59,2,14,2
42,2,14,1
48,2,14,2
48,2,14,2
53,2,8,2
48,2,8,1
49,2,8,2
44,2,8,1
45,2,8,1
49,2,8,2
48,2,8,1
52,2,8,2
46,2,8,1
51,2,8,2
57,2,8,1
53,2,8,2
54,2,8,2
42,2,8,1
46,2,8,2
54,2,8,2
43,2,8,1
59,2,8,2
49,2,8,2
48,2,8,2
46,2,8,2
48,2,8,1
58,2,8,1
42,2,8,2
45,2,8,1
51,2,8,2
54,2,8,2
57,2,8,1
43,2,8,2
53,2,8,2
43,2,8,1
41,2,8,2
51,2,8,2
55,2,8,1
43,2,8,2
58,2,8,1
57,2,8,2
57,2,8,1
57,2,8,2
54,2,8,2
41,2,8,2
54,2,8,2
48,2,8,1
50,2,8,2
58,7,10,1
53,7,10,2
45,7,10,1
52,7,10,2
42,7,10,2
48,7,10,1
47,7,10,1
59,7,10,1
44,7,10,2
57,7,10,1
47,7,10,1
51,7,10,1
55,7,10,2
55,7,10,2
50,7,10,1
45,7,10,2
60,7,10,2
58,7,10,2
53,7,10,2
54,7,10,2
51,7,10,2
51,7,10,1
45,7,10,1
47,7,10,1
52,7,10,2
51,7,10,2
57,7,10,2
60,7,10,1
59,7,10,1
57,7,10,2
50,7,10,2
60,7,10,2
45,7,10,1
45,7,10,1
59,7,10,1
46,7,10,1
49,7,10,1
44,7,10,1
47,7,10,1
57,7,10,1
41,7,10,2
42,7,10,1
54,7,10,2
50,7,10,1
53,5,12,1
56,5,12,2
60,5,12,1
42,5,12,1
51,5,12,1
43,5,12,1
51,5,12,1
49,5,12,1
54,5,12,2
49,5,12,2
57,5,12,1
43,5,12,2
57,5,12,2
51,5,12,2
43,5,12,1
59,5,12,2
55,5,12,1
59,5,12,2
57,5,12,1
46,5,12,2
55,5,12,1
44,5,12,1
43,5,12,1
56,5,12,2
44,5,12,1
44,5,12,1
56,5,12,2
58,5,12,1
49,5,12,2
46,5,12,2
52,5,12,1
54,5,12,2
54,5,12,2
42,5,12,2
41,5,12,1
41,5,12,1
48,5,12,2
48,5,12,2
44,5,12,2
47,5,12,2
47,5,12,2
45,5,12,2
44,5,12,1
45,5,12,2
43,4,13,1
49,4,13,1
56,4,13,2
42,4,13,1
49,4,13,1
55,4,13,2
50,4,13,2
48,4,13,1
55,4,13,1
43,4,13,2
48,4,13,1
42,4,13,1
49,4,13,2
58,4,13,1
49,4,13,2
46,4,13,1
41,4,13,2
52,4,13,2
60,4,13,2
48,4,13,1
59,4,13,1
42,4,13,1
49,4,13,1
59,4,13,2
50,4,13,2
50,4,13,1
46,4,13,1
51,4,13,2
55,4,13,2
56,4,13,2
59,4,13,1
54,4,13,1
42,4,13,1
42,4,13,2
46,4,13,1
60,4,13,1
50,4,13,2
60,4,13,1
56,4,13,2
47,4,13,1
50,4,13,2
54,4,13,2
56,4,13,2
49,4,13,1
53,2,11,2
58,2,11,1
56,2,11,1
