Image ID,Method 1,Method 2,Result
77,5,8,2
68,5,8,1
74,5,8,1
79,5,8,2
78,5,8,1
76,5,8,1
70,5,8,2
79,5,8,1
65,5,8,1
66,5,8,1
80,5,8,2
69,5,8,1
66,5,8,1
72,5,8,1
67,5,8,1
78,5,8,1
74,5,8,1
64,5,8,2
77,5,8,1
76,5,8,1
75,5,8,2
70,5,8,1
63,5,8,1
69,5,8,2
79,5,8,1
64,5,8,2
66,5,8,1
63,5,8,1
73,5,8,2
79,5,8,1
78,5,8,2
69,5,8,1
72,5,8,2
76,5,8,2
70,5,8,1
74,5,8,2
77,5,8,1
66,5,8,1
77,5,8,1
69,5,8,2
65,5,8,1
78,5,8,1
77,5,8,1
64,5,8,1
68,6,10,2
62,6,10,1
67,6,10,2
68,6,10,1
77,6,10,1
80,6,10,1
62,6,10,1
76,6,10,2
75,6,10,1
71,6,10,1
66,6,10,2
67,6,10,2
76,6,10,1
77,6,10,1
75,6,10,1
71,6,10,1
77,6,10,1
61,6,10,2
79,6,10,2
77,6,10,1
72,6,10,2
69,6,10,1
74,6,10,1
79,6,10,2
65,6,10,1
72,6,10,1
64,6,10,1
72,6,10,1
67,6,10,2
80,6,10,1
71,6,10,1
80,6,10,2
78,6,10,1
77,6,10,1
65,6,10,1
65,6,10,1
67,6,10,2
66,6,10,1
73,6,10,1
80,6,10,1
79,6,10,1
78,6,10,1
67,6,10,2
76,6,10,1
69,4,5,2
70,4,5,2
71,4,5,1
72,4,5,2
78,4,5,2
78,4,5,2
74,4,5,2
69,4,5,2
68,4,5,2
78,4,5,2
65,4,5,2
74,4,5,2
61,4,5,1
69,4,5,1
67,4,5,1
80,4,5,1
80,4,5,1
66,4,5,2
67,4,5,1
67,4,5,1
64,4,5,2
62,4,5,2
73,4,5,2
68,4,5,2
79,4,5,2
72,4,5,1
80,4,5,1
67,4,5,1
68,4,5,2
72,4,5,2
70,4,5,2
61,4,5,2
68,4,5,2
72,4,5,1
69,4,5,2
65,4,5,2
71,4,5,1
66,4,5,2
78,4,5,2
78,4,5,2
79,4,5,2
69,4,5,2
70,4,5,2
78,4,5,2
65,2,14,2
72,2,14,1
72,2,14,1
63,2,14,1
75,2,14,2
64,2,14,2
72,2,14,1
70,2,14,2
77,2,14,2
69,2,14,2
72,2,14,1
78,2,14,1
74,2,14,1
66,2,14,2
79,2,14,2
77,2,14,2
65,2,14,2
79,2,14,2
66,2,14,2
72,2,14,2
77,2,14,2
70,2,14,2
77,2,14,2
61,2,14,2
70,2,14,2
78,2,14,1
63,2,14,1
64,2,14,1
63,2,14,1
75,2,14,2
79,2,14,2
69,2,14,2
71,2,14,1
75,2,14,2
76,2,14,2
79,2,14,2
78,2,14,2
76,2,14,2
65,2,14,1
70,2,14,2
77,2,14,2
66,2,14,2
69,2,14,2
76,2,14,2
73,2,8,1
79,2,8,2
80,2,8,2
68,2,8,1
63,2,8,1
65,2,8,2
76,2,8,1
76,2,8,2
76,2,8,2
75,2,8,2
75,2,8,1
71,2,8,2
76,2,8,2
76,2,8,2
78,2,8,2
70,2,8,2
67,2,8,2
72,2,8,2
71,2,8,2
79,2,8,2
63,2,8,1
66,2,8,2
70,2,8,1
77,2,8,2
65,2,8,2
74,2,8,1
70,2,8,2
68,2,8,2
68,2,8,1
75,2,8,2
77,2,8,2
71,2,8,2
61,2,8,1
68,2,8,2
77,2,8,2
75,2,8,2
70,2,8,1
67,2,8,1
66,2,8,2
77,2,8,2
65,2,8,2
71,2,8,2
66,2,8,2
77,2,8,2
67,7,10,1
63,7,10,1
66,7,10,1
63,7,10,1
69,7,10,2
79,7,10,2
73,7,10,1
72,7,10,2
71,7,10,2
68,7,10,1
66,7,10,1
68,7,10,1
62,7,10,1
77,7,10,2
66,7,10,1
69,7,10,2
79,7,10,1
72,7,10,2
61,7,10,1
63,7,10,1
65,7,10,1
67,7,10,1
69,7,10,2
79,7,10,2
74,7,10,2
67,7,10,2
63,7,10,1
64,7,10,1
68,7,10,1
61,7,10,1
62,7,10,1
66,7,10,1
67,7,10,2
73,7,10,1
64,7,10,1
73,7,10,1
77,7,10,1
74,7,10,1
80,7,10,2
71,7,10,1
80,7,10,1
72,7,10,2
73,7,10,1
66,7,10,1
71,5,12,1
71,5,12,1
68,5,12,1
66,5,12,1
68,5,12,1
78,5,12,1
64,5,12,2
64,5,12,2
66,5,12,1
65,5,12,1
64,5,12,2
76,5,12,1
79,5,12,1
71,5,12,1
74,5,12,1
62,5,12,2
75,5,12,1
74,5,12,1
64,5,12,2
62,5,12,2
63,5,12,2
77,5,12,1
79,5,12,1
77,5,12,2
67,5,12,1
70,5,12,1
78,5,12,1
64,5,12,2
71,5,12,1
75,5,12,2
68,5,12,1
73,5,12,1
63,5,12,1
70,5,12,1
74,5,12,1
62,5,12,2
64,5,12,2
74,5,12,1
73,5,12,1
66,5,12,1
71,5,12,1
71,5,12,2
66,5,12,1
64,5,12,1
62,4,13,2
65,4,13,1
80,4,13,2
61,4,13,2
61,4,13,2
72,4,13,1
80,4,13,1
78,4,13,2
66,4,13,2
78,4,13,2
68,4,13,2
77,4,13,2
67,4,13,1
72,4,13,1
70,4,13,1
64,4,13,2
68,4,13,1
61,4,13,2
68,4,13,2
80,4,13,2
78,4,13,2
70,4,13,1
66,4,13,2
69,4,13,2
70,4,13,2
78,4,13,2
75,4,13,2
76,4,13,2
67,4,13,1
65,4,13,2
69,4,13,2
68,4,13,2
61,4,13,2
64,4,13,2
64,4,13,2
79,4,13,2
64,4,13,2
64,4,13,2
72,4,13,1
68,4,13,2
75,4,13,2
66,4,13,2
65,4,13,2
64,4,13,2
74,2,11,2
77,2,11,2
66,2,11,1
67,2,11,1
73,2,11,2
67,2,11,1
70,2,11,2
75,2,11,1
79,2,11,2
61,2,11,1
79,2,11,2
72,2,11,2
65,2,11,1
61,2,11,1
76,2,11,2
63,2,11,1
72,2,11,2
63,2,11,1
71,2,11,1
69,2,11,2
73,2,11,1
70,2,11,2
63,2,11,1
65,2,11,1
73,2,11,2
74,2,11,2
62,2,11,1
68,2,11,2
79,2,11,2
61,2,11,2
77,2,11,2
74,2,11,2
77,2,11,2
72,2,11,1
67,2,11,2
75,2,11,2
73,2,11,1
61,2,11,1
74,2,11,2
65,2,11,1
78,2,11,1
74,2,11,1
66,2,11,1
71,2,11,2
73,1,9,1
67,1,9,2
67,1,9,1
75,1,9,2
67,1,9,1
71,1,9,2
67,1,9,2
76,1,9,2
79,1,9,2
79,1,9,2
62,1,9,2
79,1,9,2
74,1,9,2
77,1,9,2
74,1,9,2
69,1,9,2
72,1,9,2
79,1,9,2
66,1,9,2
64,1,9,2
77,1,9,1
65,1,9,1
67,1,9,2
65,1,9,1
62,1,9,2
69,1,9,2
70,1,9,2
75,1,9,2
64,1,9,2
69,1,9,1
62,1,9,2
67,1,9,2
61,1,9,2
74,1,9,2
74,1,9,2
64,1,9,2
73,1,9,2
67,1,9,2
74,1,9,2
66,1,9,2
69,1,9,2
73,1,9,2
79,1,9,2
68,1,9,2
63,7,13,2
72,7,13,2
74,7,13,1
80,7,13,2
71,7,13,1
79,7,13,2
75,7,13,2
76,7,13,2
61,7,13,2
76,7,13,1
78,7,13,2
78,7,13,2
75,7,13,2
75,7,13,2
70,7,13,2
61,7,13,1
66,7,13,2
73,7,13,1
62,7,13,2
74,7,13,2
79,7,13,1
62,7,13,1
61,7,13,1
80,7,13,2
77,7,13,1
70,7,13,2
66,7,13,1
78,7,13,2
71,7,13,2
71,7,13,1
66,7,13,1
77,7,13,2
63,7,13,1
73,7,13,1
68,7,13,1
65,7,13,1
65,7,13,1
77,7,13,2
67,7,13,1
71,7,13,2
80,7,13,1
71,7,13,2
77,7,13,1
62,7,13,1
74,1,14,2
78,1,14,2
63,1,14,2
75,1,14,2
68,1,14,1
75,1,14,1
77,1,14,2
70,1,14,2
64,1,14,2
75,1,14,2
62,1,14,2
74,1,14,2
80,1,14,2
64,1,14,2
79,1,14,2
67,1,14,2
75,1,14,2
66,1,14,2
70,1,14,2
68,1,14,2
72,1,14,2
68,1,14,2
67,1,14,2
61,1,14,2
69,1,14,2
74,1,14,2
62,1,14,2
72,1,14,2
70,1,14,2
66,1,14,2
77,1,14,2
61,1,14,2
70,1,14,1
61,1,14,2
63,1,14,2
75,1,14,2
74,1,14,2
70,1,14,2
63,1,14,2
62,1,14,2
76,1,14,2
65,1,14,2
71,1,14,2
70,1,14,2
62,5,11,1
70,5,11,1
67,5,11,1
67,5,11,1
63,5,11,1
66,5,11,1
80,5,11,2
63,5,11,1
64,5,11,1
61,5,11,1
72,5,11,1
67,5,11,1
74,5,11,2
63,5,11,1
78,5,11,1
76,5,11,1
64,5,11,2
77,5,11,2
70,5,11,1
68,5,11,1
77,5,11,2
75,5,11,2
62,5,11,1
67,5,11,1
80,5,11,2
77,5,11,1
61,5,11,1
67,5,11,1
72,5,11,2
61,5,11,1
75,5,11,2
76,5,11,1
61,5,11,2
61,5,11,1
74,5,11,2
75,5,11,2
72,5,11,1
75,5,11,1
80,5,11,1
80,5,11,2
78,5,11,2
65,5,11,1
65,5,11,1
66,5,11,2
75,9,12,2
71,9,12,1
61,9,12,2
80,9,12,1
71,9,12,1
80,9,12,1
66,9,12,1
76,9,12,1
65,9,12,1
70,9,12,2
80,9,12,1
64,9,12,2
61,9,12,1
69,9,12,1
70,9,12,1
64,9,12,2
62,9,12,2
74,9,12,1
80,9,12,1
74,9,12,2
65,9,12,1
74,9,12,2
78,9,12,2
73,9,12,2
76,9,12,1
79,9,12,1
80,9,12,2
75,9,12,1
77,9,12,2
62,9,12,1
65,9,12,2
67,9,12,1
79,9,12,1
61,9,12,2
75,9,12,1
65,9,12,1
72,9,12,1
64,9,12,1
78,9,12,1
66,9,12,1
62,9,12,2
74,9,12,1
61,9,12,1
72,9,12,1
77,4,14,1
66,4,14,2
67,4,14,1
78,4,14,2
75,4,14,2
79,4,14,2
65,4,14,2
64,4,14,2
72,4,14,1
80,4,14,1
68,4,14,2
62,4,14,1
68,4,14,2
73,4,14,1
68,4,14,2
73,4,14,2
79,4,14,2
64,4,14,2
79,4,14,2
64,4,14,2
63,4,14,1
64,4,14,2
67,4,14,2
75,4,14,2
76,4,14,2
64,4,14,2
61,4,14,2
71,4,14,1
80,4,14,2
73,4,14,2
78,4,14,1
78,4,14,1
61,4,14,1
62,4,14,2
75,4,14,2
72,4,14,2
80,4,14,1
79,4,14,2
67,4,14,1
63,4,14,1
68,4,14,1
63,4,14,1
77,4,14,1
76,4,14,2
65,8,13,2
74,8,13,2
66,8,13,2
73,8,13,2
63,8,13,2
66,8,13,2
66,8,13,2
65,8,13,2
67,8,13,2
77,8,13,2
79,8,13,1
71,8,13,1
73,8,13,2
63,8,13,2
70,8,13,2
68,8,13,2
70,8,13,1
64,8,13,2
