Image ID,Method 1,Method 2,Result
98,5,8,1
86,5,8,1
93,5,8,1
95,5,8,2
97,5,8,1
85,5,8,1
89,5,8,1
89,5,8,1
90,5,8,1
93,5,8,1
88,5,8,1
99,5,8,2
99,5,8,2
92,5,8,1
96,5,8,2
83,5,8,2
85,5,8,1
92,5,8,2
97,5,8,1
86,5,8,2
82,5,8,2
95,5,8,2
92,5,8,2
85,5,8,1
99,5,8,2
90,5,8,2
99,5,8,2
91,5,8,2
97,5,8,1
91,5,8,2
86,5,8,1
89,5,8,1
99,5,8,2
89,5,8,1
98,5,8,1
93,5,8,1
97,5,8,1
82,6,10,1
96,6,10,2
83,6,10,2
99,6,10,1
87,6,10,2
87,6,10,1
96,6,10,1
82,6,10,1
96,6,10,2
88,6,10,1
100,6,10,2
82,6,10,2
95,6,10,1
87,6,10,1
88,6,10,2
100,6,10,2
98,6,10,2
89,6,10,2
96,6,10,1
92,6,10,1
85,6,10,1
96,6,10,2
99,6,10,1
81,6,10,2
96,6,10,2
85,6,10,2
96,6,10,2
100,6,10,1
87,6,10,2
81,6,10,1
88,6,10,1
89,6,10,1
93,6,10,1
90,6,10,2
95,6,10,1
82,6,10,1
98,6,10,2
96,4,5,2
95,4,5,1
98,4,5,1
97,4,5,2
100,4,5,1
98,4,5,1
86,4,5,2
94,4,5,2
95,4,5,1
96,4,5,1
88,4,5,1
90,4,5,2
83,4,5,1
99,4,5,1
100,4,5,1
97,4,5,2
85,4,5,2
96,4,5,2
91,4,5,1
98,4,5,1
82,4,5,1
92,4,5,1
99,4,5,1
87,4,5,1
84,4,5,1
90,4,5,2
84,4,5,1
89,4,5,1
82,4,5,2
86,4,5,2
99,4,5,1
96,4,5,1
89,4,5,2
98,4,5,1
98,4,5,1
94,4,5,1
96,4,5,1
82,2,14,2
90,2,14,2
86,2,14,2
90,2,14,1
84,2,14,2
84,2,14,2
99,2,14,2
93,2,14,1
91,2,14,1
85,2,14,2
94,2,14,2
92,2,14,2
97,2,14,2
91,2,14,2
84,2,14,2
98,2,14,2
84,2,14,2
99,2,14,2
92,2,14,2
100,2,14,2
100,2,14,2
99,2,14,2
81,2,14,2
81,2,14,1
83,2,14,2
82,2,14,2
98,2,14,2
87,2,14,2
93,2,14,2
84,2,14,2
84,2,14,2
93,2,14,2
100,2,14,2
94,2,14,2
92,2,14,1
90,2,14,2
87,2,14,2
86,2,8,2
95,2,8,2
89,2,8,2
97,2,8,1
89,2,8,2
81,2,8,2
82,2,8,2
94,2,8,2
91,2,8,2
87,2,8,2
98,2,8,2
92,2,8,2
89,2,8,2
84,2,8,2
94,2,8,2
99,2,8,2
91,2,8,2
96,2,8,2
97,2,8,2
88,2,8,2
97,2,8,2
99,2,8,2
90,2,8,2
89,2,8,2
88,2,8,2
98,2,8,2
93,2,8,2
89,2,8,2
87,2,8,2
93,2,8,2
