Image ID,Method 1,Method 2,Result
17,5,8,1
14,5,8,2
47,5,8,1
98,5,8,1
36,5,8,2
74,5,8,1
55,5,8,1
38,5,8,2
98,5,8,1
8,5,8,1
3,5,8,1
53,5,8,1
43,5,8,2
24,5,8,1
29,5,8,1
8,5,8,1
19,5,8,2
71,5,8,2
59,5,8,1
51,5,8,2
40,5,8,2
12,5,8,2
56,5,8,1
55,5,8,2
75,5,8,2
48,5,8,2
98,5,8,1
61,5,8,1
21,5,8,1
42,5,8,1
19,5,8,1
96,5,8,1
8,5,8,2
46,5,8,2
71,5,8,2
60,5,8,1
46,5,8,2
55,5,8,1
39,5,8,2
43,5,8,2
2,5,8,2
98,5,8,1
48,5,8,2
48,5,8,2
54,5,8,1
96,5,8,2
80,5,8,2
32,5,8,2
24,5,8,1
100,5,8,1
72,5,8,1
81,5,8,2
81,5,8,2
98,5,8,1
29,5,8,1
56,5,8,1
35,5,8,2
20,5,8,1
22,5,8,2
71,5,8,1
68,5,8,1
12,5,8,2
50,5,8,2
50,5,8,1
48,5,8,2
21,5,8,1
12,5,8,2
10,5,8,1
100,5,8,2
98,5,8,1
37,5,8,2
64,5,8,1
94,5,8,1
12,5,8,2
67,5,8,2
3,5,8,1
56,5,8,2
40,5,8,2
48,5,8,1
38,5,8,1
81,5,8,2
29,5,8,1
94,5,8,1
71,5,8,1
57,5,8,2
24,5,8,1
46,5,8,2
81,5,8,1
74,5,8,1
32,5,8,2
39,5,8,2
75,5,8,2
47,5,8,1
61,5,8,2
17,5,8,1
94,5,8,1
48,5,8,2
43,5,8,2
76,5,8,1
79,5,8,2
77,5,8,2
96,5,8,1
100,5,8,1
98,5,8,1
59,5,8,1
81,5,8,1
34,5,8,1
81,5,8,1
96,5,8,2
66,5,8,2
71,5,8,2
61,5,8,2
66,5,8,2
16,5,8,1
25,5,8,1
72,5,8,1
98,5,8,1
77,5,8,1
15,5,8,1
40,5,8,2
8,5,8,2
67,5,8,1
36,5,8,1
81,5,8,2
53,5,8,2
43,5,8,1
59,5,8,1
24,5,8,1
94,5,8,1
50,5,8,1
22,5,8,2
19,5,8,2
60,5,8,1
40,5,8,2
12,5,8,2
17,5,8,1
47,5,8,1
43,5,8,2
66,5,8,1
19,5,8,1
61,5,8,1
38,5,8,2
40,5,8,1
62,5,8,2
40,5,8,1
74,5,8,1
54,5,8,2
35,5,8,2
22,5,8,1
14,5,8,2
51,5,8,1
47,5,8,1
79,5,8,2
48,5,8,2
42,5,8,1
100,6,10,2
47,6,10,1
19,6,10,1
46,6,10,2
54,6,10,2
10,6,10,1
94,6,10,1
98,6,10,1
81,6,10,1
99,6,10,2
18,6,10,2
3,6,10,1
99,6,10,1
96,6,10,2
50,6,10,2
8,6,10,1
47,6,10,1
