Image ID,Method 1,Method 2,Result
44,5,8,1
53,5,8,1
41,5,8,2
44,5,8,2
44,5,8,2
73,5,8,1
45,5,8,2
1,5,8,1
95,5,8,2
65,5,8,1
95,5,8,2
44,5,8,2
41,5,8,1
44,5,8,1
73,5,8,1
45,5,8,1
41,5,8,1
44,5,8,2
30,5,8,2
1,5,8,2
65,5,8,1
53,5,8,2
65,5,8,1
30,5,8,2
58,5,8,1
65,5,8,2
58,5,8,1
95,6,10,1
44,6,10,2
1,6,10,1
95,6,10,1
69,6,10,1
53,6,10,2
73,6,10,1
30,6,10,2
69,6,10,1
58,6,10,2
13,6,10,1
58,6,10,1
65,6,10,2
44,6,10,1
58,6,10,2
13,6,10,1
58,6,10,1
13,6,10,2
1,6,10,1
13,6,10,1
44,6,10,1
30,6,10,1
31,6,10,1
1,6,10,1
31,6,10,1
33,6,10,2
65,6,10,2
73,4,5,1
69,4,5,2
69,4,5,2
73,4,5,2
58,4,5,2
53,4,5,1
53,4,5,1
33,4,5,2
65,4,5,2
13,4,5,1
45,4,5,1
33,4,5,2
13,4,5,1
58,4,5,1
58,4,5,2
73,4,5,2
53,4,5,2
69,4,5,2
41,4,5,2
30,4,5,1
33,4,5,2
30,4,5,2
31,4,5,1
41,4,5,2
31,4,5,1
44,4,5,1
44,4,5,1
33,2,14,1
1,2,14,2
58,2,14,2
30,2,14,2
30,2,14,2
58,2,14,2
53,2,14,1
31,2,14,2
69,2,14,2
73,2,14,2
73,2,14,2
13,2,14,1
31,2,14,2
69,2,14,2
31,2,14,2
53,2,14,1
44,2,14,2
30,2,14,2
41,2,14,1
30,2,14,2
1,2,14,1
58,2,14,2
95,2,14,1
73,2,14,2
45,2,14,1
65,2,14,2
95,2,14,1
13,2,8,1
58,2,8,2
69,2,8,1
95,2,8,2
95,2,8,1
44,2,8,2
65,2,8,2
44,2,8,2
30,2,8,2
53,2,8,1
73,2,8,2
53,2,8,1
31,2,8,2
30,2,8,2
65,2,8,2
31,2,8,2
31,2,8,2
95,2,8,2
45,2,8,2
45,2,8,1
95,2,8,1
45,2,8,2
41,2,8,2
73,2,8,2
58,2,8,2
44,2,8,1
45,2,8,1
13,7,10,2
73,7,10,2
30,7,10,2
65,7,10,1
44,7,10,1
30,7,10,2
58,7,10,1
65,7,10,1
13,7,10,2
65,7,10,2
45,7,10,1
65,7,10,1
45,7,10,1
65,7,10,1
30,7,10,2
69,7,10,1
53,7,10,2
33,7,10,1
31,7,10,2
31,7,10,2
1,7,10,1
53,7,10,1
44,7,10,1
44,7,10,1
13,7,10,1
41,7,10,2
1,7,10,2
73,5,12,1
69,5,12,1
31,5,12,2
58,5,12,1
31,5,12,2
45,5,12,1
53,5,12,1
45,5,12,1
95,5,12,2
95,5,12,2
65,5,12,1
41,5,12,1
44,5,12,2
58,5,12,1
31,5,12,2
65,5,12,1
45,5,12,2
53,5,12,1
53,5,12,1
1,5,12,1
95,5,12,2
69,5,12,1
41,5,12,1
73,5,12,1
58,5,12,2
30,5,12,2
41,5,12,1
69,4,13,2
44,4,13,1
13,4,13,1
30,4,13,1
30,4,13,2
53,4,13,2
58,4,13,1
33,4,13,2
65,4,13,1
13,4,13,1
13,4,13,1
13,4,13,2
58,4,13,2
58,4,13,2
65,4,13,1
65,4,13,1
95,4,13,2
33,4,13,2
30,4,13,2
58,4,13,2
31,4,13,2
33,4,13,2
41,4,13,1
65,4,13,1
13,4,13,2
95,4,13,2
1,4,13,2
69,2,11,2
33,2,11,1
73,2,11,2
73,2,11,2
73,2,11,2
13,2,11,1
53,2,11,1
69,2,11,2
95,2,11,2
41,2,11,1
13,2,11,1
31,2,11,2
95,2,11,1
58,2,11,2
13,2,11,1
45,2,11,2
44,2,11,2
53,2,11,1
44,2,11,2
30,2,11,2
30,2,11,2
53,2,11,1
69,2,11,1
44,2,11,2
58,2,11,2
65,2,11,1
73,2,11,2
95,1,9,1
58,1,9,2
95,1,9,2
58,1,9,2
58,1,9,2
33,1,9,1
30,1,9,2
44,1,9,1
33,1,9,2
45,1,9,2
69,1,9,2
58,1,9,2
1,1,9,2
1,1,9,2
13,1,9,2
44,1,9,2
45,1,9,2
44,1,9,1
95,1,9,2
1,1,9,2
44,1,9,2
30,1,9,2
41,1,9,1
95,1,9,1
1,1,9,2
44,1,9,1
31,1,9,2
13,7,13,2
30,7,13,2
33,7,13,1
33,7,13,1
30,7,13,2
41,7,13,1
45,7,13,2
73,7,13,1
53,7,13,2
58,7,13,2
13,7,13,2
95,7,13,1
73,7,13,2
73,7,13,1
95,7,13,1
65,7,13,1
33,7,13,1
30,7,13,2
65,7,13,1
69,7,13,1
95,7,13,1
73,7,13,2
53,7,13,1
53,7,13,2
13,7,13,1
58,7,13,2
53,7,13,2
69,1,14,2
41,1,14,1
69,1,14,2
30,1,14,2
33,1,14,1
53,1,14,2
31,1,14,2
95,1,14,2
44,1,14,2
53,1,14,2
69,1,14,2
31,1,14,2
33,1,14,2
95,1,14,2
30,1,14,2
95,1,14,2
69,1,14,2
45,1,14,2
30,1,14,1
65,1,14,2
44,1,14,2
73,1,14,2
73,1,14,1
73,1,14,1
33,1,14,1
95,1,14,2
31,1,14,2
33,5,11,1
1,5,11,2
1,5,11,1
44,5,11,1
44,5,11,1
65,5,11,1
44,5,11,1
69,5,11,1
45,5,11,2
65,5,11,2
65,5,11,1
41,5,11,1
1,5,11,2
95,5,11,1
31,5,11,2
1,5,11,2
58,5,11,1
73,5,11,1
44,5,11,1
69,5,11,2
73,5,11,1
73,5,11,1
45,5,11,1
53,5,11,2
69,5,11,1
1,5,11,2
95,5,11,1
45,9,12,1
53,9,12,1
69,9,12,1
58,9,12,1
13,9,12,1
65,9,12,1
69,9,12,1
1,9,12,1
41,9,12,2
53,9,12,1
44,9,12,2
65,9,12,2
44,9,12,2
31,9,12,1
13,9,12,1
1,9,12,1
1,9,12,1
30,9,12,1
1,9,12,1
65,9,12,2
73,9,12,2
45,9,12,1
53,9,12,2
30,9,12,1
30,9,12,2
33,9,12,1
58,9,12,1
45,4,14,1
1,4,14,2
69,4,14,2
53,4,14,2
58,4,14,1
73,4,14,1
13,4,14,1
69,4,14,1
95,4,14,1
73,4,14,2
13,4,14,1
69,4,14,2
30,4,14,2
65,4,14,1
1,4,14,1
58,4,14,1
30,4,14,1
33,4,14,1
95,4,14,2
41,4,14,1
65,4,14,1
45,4,14,1
65,4,14,1
13,4,14,1
95,4,14,1
95,4,14,1
33,4,14,1
30,8,13,2
73,8,13,2
45,8,13,1
53,8,13,2
41,8,13,1
33,8,13,2
69,8,13,2
13,8,13,2
45,8,13,2
95,8,13,2
30,8,13,2
33,8,13,2
1,8,13,2
33,8,13,2
45,8,13,1
1,8,13,2
65,8,13,1
13,8,13,2
30,8,13,1
1,8,13,2
45,8,13,2
95,8,13,1
41,8,13,2
73,8,13,2
65,8,13,1
73,8,13,1
31,8,13,1
31,3,11,2
95,3,11,1
69,3,11,1
53,3,11,1
95,3,11,2
30,3,11,1
69,3,11,1
58,3,11,2
53,3,11,1
44,3,11,1
13,3,11,1
73,3,11,1
1,3,11,2
95,3,11,1
13,3,11,1
73,3,11,1
53,3,11,1
13,3,11,1
65,3,11,1
33,3,11,2
95,3,11,1
41,3,11,1
53,3,11,2
45,3,11,2
69,3,11,1
58,3,11,2
31,3,11,2
30,12,13,1
53,12,13,2
65,12,13,1
69,12,13,1
58,12,13,2
69,12,13,2
95,12,13,2
30,12,13,1
30,12,13,2
69,12,13,2
53,12,13,1
65,12,13,2
45,12,13,2
95,12,13,1
95,12,13,1
69,12,13,2
41,12,13,1
73,12,13,1
58,12,13,2
1,12,13,2
45,12,13,2
30,12,13,2
33,12,13,2
58,12,13,2
65,12,13,2
30,12,13,2
45,12,13,1
33,3,9,1
45,3,9,1
58,3,9,2
73,3,9,1
53,3,9,2
69,3,9,1
33,3,9,2
45,3,9,2
30,3,9,1
41,3,9,2
58,3,9,2
1,3,9,1
44,3,9,1
73,3,9,1
30,3,9,2
53,3,9,2
53,3,9,1
53,3,9,1
41,3,9,1
1,3,9,2
45,3,9,1
1,3,9,1
53,3,9,1
69,3,9,1
1,3,9,1
58,3,9,2
53,3,9,2
45,6,7,2
33,6,7,2
58,6,7,1
65,6,7,2
65,6,7,2
33,6,7,2
73,6,7,2
53,6,7,1
45,6,7,1
45,6,7,1
44,6,7,2
33,6,7,2
44,6,7,1
33,6,7,2
65,6,7,2
53,6,7,1
45,6,7,2
13,6,7,2
58,6,7,2
31,6,7,1
58,6,7,1
13,6,7,2
58,6,7,1
45,6,7,2
44,6,7,2
1,6,7,1
31,6,7,1
44,1,13,2
33,1,13,1
41,1,13,2
30,1,13,2
44,1,13,2
33,1,13,2
69,1,13,2
65,1,13,2
53,1,13,2
41,1,13,2
73,1,13,2
65,1,13,2
31,1,13,2
33,1,13,1
44,1,13,2
41,1,13,1
31,1,13,2
30,1,13,2
58,1,13,2
45,1,13,2
13,1,13,2
58,1,13,2
30,1,13,2
58,1,13,2
58,1,13,1
31,1,13,2
58,1,13,2
69,11,14,2
44,11,14,2
41,11,14,2
53,11,14,2
41,11,14,1
73,11,14,2
45,11,14,1
33,11,14,2
73,11,14,2
44,11,14,2
33,11,14,2
1,11,14,1
1,11,14,2
33,11,14,2
58,11,14,1
13,11,14,2
73,11,14,2
1,11,14,2
53,11,14,1
53,11,14,1
69,11,14,2
53,11,14,2
58,11,14,1
33,11,14,2
30,11,14,1
95,11,14,1
13,11,14,1
31,5,14,1
65,5,14,1
73,5,14,1
30,5,14,2
13,5,14,1
13,5,14,1
33,5,14,2
69,5,14,2
1,5,14,1
95,5,14,1
30,5,14,1
95,5,14,1
53,5,14,1
33,5,14,1
45,5,14,1
13,5,14,1
45,5,14,1
31,5,14,2
44,5,14,1
69,5,14,2
30,5,14,2
45,5,14,1
13,5,14,1
41,5,14,1
13,5,14,1
73,5,14,1
31,5,14,2
69,1,2,2
44,1,2,2
41,1,2,1
13,1,2,2
41,1,2,2
45,1,2,2
58,1,2,1
95,1,2,2
1,1,2,2
58,1,2,1
30,1,2,2
44,1,2,1
65,1,2,2
45,1,2,2
44,1,2,1
30,1,2,2
13,1,2,1
45,1,2,2
65,1,2,2
69,1,2,1
65,1,2,2
69,1,2,2
30,1,2,2
69,1,2,2
1,1,2,2
30,1,2,1
69,1,2,2
13,9,11,1
58,9,11,1
41,9,11,2
30,9,11,1
13,9,11,2
30,9,11,2
41,9,11,1
30,9,11,1
30,9,11,1
44,9,11,1
30,9,11,1
30,9,11,1
31,9,11,1
53,9,11,2
65,9,11,1
13,9,11,1
45,9,11,1
69,9,11,1
53,9,11,2
65,9,11,1
31,9,11,2
30,9,11,1
45,9,11,2
53,9,11,1
1,9,11,2
69,9,11,1
53,9,11,1
58,10,11,2
69,10,11,1
41,10,11,1
44,10,11,1
65,10,11,1
53,10,11,2
13,10,11,1
30,10,11,1
65,10,11,2
73,10,11,1
31,10,11,2
31,10,11,2
69,10,11,1
1,10,11,2
1,10,11,2
45,10,11,2
1,10,11,2
73,10,11,2
73,10,11,1
44,10,11,2
69,10,11,2
33,10,11,2
31,10,11,2
33,10,11,1
45,10,11,1
95,10,11,1
53,10,11,2
30,2,3,2
44,2,3,2
45,2,3,2
58,2,3,2
30,2,3,2
69,2,3,2
53,2,3,1
13,2,3,2
13,2,3,2
95,2,3,2
