Image ID,Method 1,Method 2,Result
49,5,8,2
24,5,8,1
63,5,8,1
70,5,8,2
70,5,8,2
24,5,8,1
49,5,8,2
27,5,8,1
70,5,8,1
49,5,8,1
49,5,8,2
26,5,8,1
27,5,8,1
24,5,8,1
63,5,8,1
63,5,8,2
34,5,8,1
27,6,10,2
26,6,10,1
63,6,10,1
27,6,10,2
62,6,10,1
27,6,10,2
28,6,10,1
26,6,10,2
13,6,10,1
70,6,10,1
23,6,10,2
62,6,10,1
27,6,10,1
13,6,10,1
26,6,10,2
26,6,10,2
26,6,10,1
63,4,5,1
34,4,5,1
27,4,5,2
49,4,5,1
23,4,5,1
63,4,5,1
63,4,5,2
70,4,5,2
70,4,5,2
27,4,5,2
49,4,5,2
24,4,5,2
13,4,5,1
62,4,5,1
49,4,5,1
13,4,5,1
63,4,5,2
28,2,14,2
63,2,14,1
34,2,14,2
13,2,14,1
63,2,14,1
28,2,14,2
23,2,14,1
78,2,14,2
23,2,14,1
24,2,14,2
23,2,14,1
26,2,14,1
70,2,14,2
63,2,14,1
28,2,14,2
78,2,14,2
63,2,14,1
49,2,8,2
70,2,8,2
24,2,8,2
13,2,8,1
49,2,8,2
24,2,8,2
70,2,8,2
49,2,8,2
62,2,8,2
27,2,8,2
49,2,8,2
24,2,8,2
62,2,8,2
28,2,8,2
62,2,8,2
62,2,8,2
28,2,8,2
26,7,10,2
13,7,10,2
62,7,10,2
34,7,10,2
63,7,10,1
78,7,10,2
28,7,10,1
78,7,10,1
23,7,10,2
28,7,10,1
63,7,10,1
62,7,10,1
63,7,10,2
13,7,10,2
34,7,10,1
23,7,10,1
63,7,10,2
27,5,12,1
78,5,12,1
63,5,12,2
23,5,12,2
49,5,12,2
34,5,12,1
28,5,12,1
78,5,12,2
70,5,12,1
24,5,12,1
34,5,12,2
63,5,12,2
62,5,12,2
34,5,12,1
62,5,12,2
23,5,12,1
26,5,12,1
62,4,13,2
70,4,13,1
28,4,13,2
13,4,13,1
28,4,13,1
63,4,13,2
62,4,13,1
78,4,13,1
28,4,13,2
70,4,13,2
26,4,13,2
23,4,13,2
62,4,13,1
13,4,13,1
23,4,13,2
49,4,13,2
13,4,13,1
78,2,11,2
78,2,11,2
63,2,11,2
70,2,11,2
27,2,11,1
70,2,11,2
27,2,11,1
24,2,11,2
26,2,11,2
26,2,11,1
28,2,11,2
34,2,11,2
13,2,11,1
34,2,11,1
49,2,11,2
13,2,11,1
23,2,11,2
27,1,9,2
63,1,9,2
27,1,9,2
34,1,9,1
78,1,9,2
34,1,9,1
23,1,9,2
28,1,9,2
28,1,9,2
27,1,9,2
78,1,9,2
78,1,9,2
70,1,9,2
62,1,9,2
26,1,9,2
49,1,9,2
62,1,9,2
13,7,13,2
28,7,13,2
78,7,13,2
49,7,13,2
28,7,13,2
49,7,13,2
23,7,13,2
78,7,13,2
34,7,13,2
13,7,13,2
62,7,13,2
49,7,13,2
34,7,13,2
23,7,13,2
28,7,13,2
26,7,13,2
70,7,13,1
26,1,14,2
34,1,14,1
23,1,14,2
78,1,14,2
49,1,14,2
24,1,14,2
27,1,14,2
24,1,14,2
34,1,14,2
49,1,14,1
27,1,14,2
27,1,14,2
23,1,14,2
28,1,14,1
27,1,14,2
63,1,14,2
26,1,14,2
49,5,11,2
34,5,11,2
26,5,11,1
27,5,11,1
28,5,11,1
63,5,11,1
49,5,11,2
34,5,11,1
70,5,11,2
24,5,11,1
26,5,11,1
70,5,11,1
78,5,11,2
23,5,11,2
24,5,11,1
26,5,11,1
49,5,11,2
23,9,12,2
28,9,12,2
78,9,12,1
13,9,12,1
78,9,12,1
23,9,12,2
78,9,12,1
34,9,12,2
26,9,12,2
63,9,12,1
27,9,12,1
63,9,12,2
13,9,12,1
28,9,12,1
78,9,12,1
49,9,12,1
63,9,12,2
27,4,14,2
70,4,14,2
49,4,14,1
34,4,14,1
28,4,14,1
26,4,14,2
13,4,14,1
78,4,14,1
26,4,14,2
70,4,14,2
24,4,14,2
13,4,14,1
28,4,14,1
49,4,14,2
28,4,14,1
13,4,14,1
70,4,14,2
24,8,13,1
24,8,13,2
28,8,13,2
78,8,13,2
26,8,13,1
49,8,13,1
27,8,13,2
63,8,13,1
34,8,13,1
13,8,13,2
70,8,13,1
34,8,13,2
78,8,13,1
26,8,13,2
13,8,13,2
27,8,13,2
63,8,13,1
28,3,11,1
70,3,11,1
70,3,11,1
26,3,11,2
63,3,11,2
49,3,11,1
23,3,11,2
78,3,11,2
23,3,11,2
63,3,11,1
63,3,11,2
23,3,11,2
