Image ID,Method 1,Method 2,Result
17,5,8,1
74,5,8,1
55,5,8,1
53,5,8,1
29,5,8,1
19,5,8,2
59,5,8,1
51,5,8,2
56,5,8,1
55,5,8,2
75,5,8,2
42,5,8,1
19,5,8,1
55,5,8,1
54,5,8,1
81,5,8,2
81,5,8,2
29,5,8,1
56,5,8,1
50,5,8,2
50,5,8,1
94,5,8,1
26,5,8,1
56,5,8,2
81,5,8,2
29,5,8,1
94,5,8,1
81,5,8,1
74,5,8,1
75,5,8,2
17,5,8,1
94,5,8,1
76,5,8,1
77,5,8,2
59,5,8,1
81,5,8,1
81,5,8,1
16,5,8,1
77,5,8,1
81,5,8,2
53,5,8,2
59,5,8,1
94,5,8,1
50,5,8,1
19,5,8,2
17,5,8,1
33,5,8,1
19,5,8,1
74,5,8,1
54,5,8,2
51,5,8,1
42,5,8,1
81,5,8,1
28,5,8,1
54,5,8,2
26,5,8,1
54,5,8,1
19,6,10,1
54,6,10,2
26,6,10,1
94,6,10,1
81,6,10,1
18,6,10,2
50,6,10,2
59,6,10,1
51,6,10,2
53,6,10,2
16,6,10,1
52,6,10,2
97,6,10,1
97,6,10,1
59,6,10,1
52,6,10,2
28,6,10,1
76,6,10,1
26,6,10,2
42,6,10,1
76,6,10,1
23,6,10,2
16,6,10,1
9,6,10,1
9,6,10,1
9,6,10,1
26,6,10,2
55,6,10,2
18,6,10,1
54,6,10,1
52,6,10,1
26,6,10,2
18,6,10,1
26,6,10,1
81,6,10,1
19,6,10,1
29,6,10,1
29,6,10,1
54,6,10,1
11,6,10,1
55,6,10,1
33,6,10,2
97,6,10,1
9,6,10,1
53,6,10,2
50,6,10,1
81,6,10,1
18,6,10,1
74,6,10,2
77,6,10,2
56,6,10,1
94,6,10,2
94,6,10,1
52,6,10,2
18,6,10,1
29,6,10,2
94,6,10,1
11,4,5,1
23,4,5,1
18,4,5,1
76,4,5,1
18,4,5,2
42,4,5,1
74,4,5,2
76,4,5,1
19,4,5,1
94,4,5,2
42,4,5,2
81,4,5,1
16,4,5,2
17,4,5,1
53,4,5,1
53,4,5,1
33,4,5,2
77,4,5,2
9,4,5,2
51,4,5,2
19,4,5,1
94,4,5,2
77,4,5,2
33,4,5,2
94,4,5,1
16,4,5,2
19,4,5,1
18,4,5,2
55,4,5,1
52,4,5,2
53,4,5,2
56,4,5,2
18,4,5,2
54,4,5,2
42,4,5,1
94,4,5,2
17,4,5,1
52,4,5,2
94,4,5,2
16,4,5,1
9,4,5,2
26,4,5,1
54,4,5,1
55,4,5,2
11,4,5,2
33,4,5,2
11,4,5,2
16,4,5,1
16,4,5,1
56,4,5,2
52,4,5,1
59,4,5,2
52,4,5,2
9,4,5,2
78,4,5,2
59,4,5,2
19,4,5,2
42,2,14,1
94,2,14,1
74,2,14,2
33,2,14,1
56,2,14,1
97,2,14,2
28,2,14,2
55,2,14,1
77,2,14,1
75,2,14,2
74,2,14,2
53,2,14,1
75,2,14,1
75,2,14,2
50,2,14,2
55,2,14,1
53,2,14,1
74,2,14,2
28,2,14,2
56,2,14,2
56,2,14,1
75,2,14,2
97,2,14,2
77,2,14,1
23,2,14,1
11,2,14,2
29,2,14,2
52,2,14,2
50,2,14,1
81,2,14,2
55,2,14,2
78,2,14,2
29,2,14,1
23,2,14,1
23,2,14,1
26,2,14,1
11,2,14,2
56,2,14,2
75,2,14,1
28,2,14,2
78,2,14,2
50,2,14,2
81,2,14,1
77,2,14,1
75,2,14,2
11,2,14,1
28,2,14,2
56,2,14,1
42,2,14,2
28,2,14,2
23,2,14,2
54,2,14,2
94,2,14,1
74,2,14,2
77,2,14,2
33,2,14,1
42,2,14,1
94,2,8,1
16,2,8,1
75,2,8,2
52,2,8,2
52,2,8,2
29,2,8,2
97,2,8,1
11,2,8,1
16,2,8,2
28,2,8,2
94,2,8,2
52,2,8,2
97,2,8,2
56,2,8,1
97,2,8,2
81,2,8,2
17,2,8,1
59,2,8,2
94,2,8,1
54,2,8,2
50,2,8,2
75,2,8,2
54,2,8,2
75,2,8,1
53,2,8,1
55,2,8,1
28,2,8,2
78,2,8,2
56,2,8,1
81,2,8,2
53,2,8,1
50,2,8,2
52,2,8,2
59,2,8,2
52,2,8,2
9,2,8,1
19,2,8,1
76,2,8,1
11,2,8,1
94,2,8,2
52,2,8,1
97,2,8,1
28,2,8,2
11,2,8,1
59,2,8,1
19,2,8,2
29,2,8,2
29,2,8,2
54,2,8,2
51,2,8,2
18,2,8,2
17,2,8,1
9,2,8,1
75,2,8,1
19,2,8,2
94,2,8,1
28,2,8,2
26,7,10,2
78,7,10,2
16,7,10,1
75,7,10,2
52,7,10,1
75,7,10,2
75,7,10,1
28,7,10,1
9,7,10,1
78,7,10,1
23,7,10,2
75,7,10,1
59,7,10,1
