Image ID,Method 1,Method 2,Result
83,5,8,2
88,5,8,2
88,5,8,1
87,5,8,1
6,5,8,1
87,5,8,1
89,5,8,1
83,5,8,2
87,5,8,1
86,5,8,1
82,5,8,2
4,5,8,1
91,5,8,2
7,5,8,2
84,5,8,1
90,5,8,1
93,5,8,1
35,5,8,2
84,5,8,1
7,5,8,2
83,5,8,2
89,5,8,1
91,5,8,2
91,5,8,2
83,5,8,2
92,5,8,2
6,5,8,2
84,5,8,1
7,5,8,1
92,5,8,2
6,5,8,2
84,5,8,2
35,5,8,2
85,5,8,2
93,5,8,1
83,5,8,2
85,6,10,2
86,6,10,2
85,6,10,2
83,6,10,1
82,6,10,1
88,6,10,2
91,6,10,1
93,6,10,2
87,6,10,2
5,6,10,1
82,6,10,2
5,6,10,1
35,6,10,2
89,6,10,1
7,6,10,2
82,6,10,1
93,6,10,2
89,6,10,2
5,6,10,1
86,6,10,1
5,6,10,1
89,6,10,1
5,6,10,1
88,6,10,2
86,6,10,2
87,6,10,1
87,6,10,2
4,6,10,1
85,6,10,2
87,6,10,1
35,6,10,1
90,6,10,2
89,6,10,2
86,6,10,1
87,6,10,1
5,6,10,1
92,4,5,1
85,4,5,1
92,4,5,1
93,4,5,2
7,4,5,1
87,4,5,1
92,4,5,1
6,4,5,2
93,4,5,2
89,4,5,2
35,4,5,2
92,4,5,1
86,4,5,1
87,4,5,1
88,4,5,2
91,4,5,1
92,4,5,1
87,4,5,2
5,4,5,2
35,4,5,2
4,4,5,2
91,4,5,1
82,4,5,1
87,4,5,2
85,4,5,1
87,4,5,2
4,4,5,2
4,4,5,1
90,4,5,1
90,4,5,1
91,4,5,1
91,4,5,1
83,4,5,2
6,4,5,1
89,4,5,1
83,4,5,2
35,2,14,1
82,2,14,2
35,2,14,1
4,2,14,2
85,2,14,2
91,2,14,1
6,2,14,2
89,2,14,1
84,2,14,2
5,2,14,2
35,2,14,2
6,2,14,2
91,2,14,1
84,2,14,1
89,2,14,2
85,2,14,2
90,2,14,2
88,2,14,2
88,2,14,2
5,2,14,1
88,2,14,2
84,2,14,2
35,2,14,2
35,2,14,1
82,2,14,2
82,2,14,2
93,2,14,2
88,2,14,2
91,2,14,2
88,2,14,2
82,2,14,2
82,2,14,2
85,2,14,2
91,2,14,2
84,2,14,2
90,2,14,2
84,2,8,2
86,2,8,2
91,2,8,2
86,2,8,2
6,2,8,1
4,2,8,2
7,2,8,2
5,2,8,1
86,2,8,2
93,2,8,1
6,2,8,2
89,2,8,2
92,2,8,2
4,2,8,1
89,2,8,2
84,2,8,2
92,2,8,2
4,2,8,1
88,2,8,2
4,2,8,1
89,2,8,2
82,2,8,2
90,2,8,2
82,2,8,2
86,2,8,2
5,2,8,1
89,2,8,2
84,2,8,2
84,2,8,2
84,2,8,1
4,2,8,1
91,2,8,2
87,2,8,2
84,2,8,2
5,2,8,2
4,2,8,2
84,7,10,1
92,7,10,1
7,7,10,1
87,7,10,1
88,7,10,1
91,7,10,1
6,7,10,2
5,7,10,1
7,7,10,1
82,7,10,1
83,7,10,1
6,7,10,1
84,7,10,1
88,7,10,1
88,7,10,1
91,7,10,1
83,7,10,1
93,7,10,1
82,7,10,2
87,7,10,2
82,7,10,2
89,7,10,2
4,7,10,1
5,7,10,1
88,7,10,1
5,7,10,1
4,7,10,2
90,7,10,1
35,7,10,1
83,7,10,2
7,7,10,2
90,7,10,1
93,7,10,2
85,7,10,2
88,7,10,1
84,7,10,1
85,5,12,2
4,5,12,2
4,5,12,2
91,5,12,2
91,5,12,2
93,5,12,2
82,5,12,2
89,5,12,1
87,5,12,1
4,5,12,1
5,5,12,2
85,5,12,1
87,5,12,1
89,5,12,1
6,5,12,2
87,5,12,1
87,5,12,1
86,5,12,1
4,5,12,1
86,5,12,1
4,5,12,2
90,5,12,2
5,5,12,1
5,5,12,2
82,5,12,2
89,5,12,1
4,5,12,2
86,5,12,1
87,5,12,1
7,5,12,1
5,5,12,2
90,5,12,2
91,5,12,2
87,5,12,1
87,5,12,1
88,5,12,2
90,4,13,2
90,4,13,2
93,4,13,2
93,4,13,2
82,4,13,2
86,4,13,2
89,4,13,2
83,4,13,2
4,4,13,1
87,4,13,2
82,4,13,2
92,4,13,2
92,4,13,2
86,4,13,1
93,4,13,2
89,4,13,2
92,4,13,2
93,4,13,2
91,4,13,1
86,4,13,2
82,4,13,2
7,4,13,1
90,4,13,2
4,4,13,1
93,4,13,2
88,4,13,2
90,4,13,2
7,4,13,1
89,4,13,2
82,4,13,2
86,4,13,2
82,4,13,2
91,4,13,2
82,4,13,2
89,4,13,2
88,4,13,2
90,2,11,2
88,2,11,2
7,2,11,2
84,2,11,2
85,2,11,2
7,2,11,2
6,2,11,1
5,2,11,1
89,2,11,1
7,2,11,2
35,2,11,2
82,2,11,2
92,2,11,2
88,2,11,2
7,2,11,2
35,2,11,1
5,2,11,1
87,2,11,2
91,2,11,2
82,2,11,2
82,2,11,2
93,2,11,1
93,2,11,1
6,2,11,2
6,2,11,2
85,2,11,2
84,2,11,2
84,2,11,2
84,2,11,2
89,2,11,2
6,2,11,2
86,2,11,1
86,2,11,1
85,2,11,2
4,2,11,2
85,2,11,2
5,1,9,2
7,1,9,2
92,1,9,2
86,1,9,2
5,1,9,2
89,1,9,2
93,1,9,2
35,1,9,2
87,1,9,2
86,1,9,2
89,1,9,2
89,1,9,1
84,1,9,2
88,1,9,2
6,1,9,2
84,1,9,1
5,1,9,2
87,1,9,2
84,1,9,1
85,1,9,2
83,1,9,2
84,1,9,2
91,1,9,2
91,1,9,1
4,1,9,2
84,1,9,1
89,1,9,2
85,1,9,2
87,1,9,2
84,1,9,2
7,1,9,2
87,1,9,2
92,1,9,2
83,1,9,2
93,1,9,2
85,1,9,2
7,7,13,1
35,7,13,2
85,7,13,2
89,7,13,2
87,7,13,2
4,7,13,2
7,7,13,2
91,7,13,2
93,7,13,2
84,7,13,2
7,7,13,2
35,7,13,2
93,7,13,1
84,7,13,2
7,7,13,1
90,7,13,2
93,7,13,2
92,7,13,2
83,7,13,2
90,7,13,2
6,7,13,2
7,7,13,1
93,7,13,2
5,7,13,1
83,7,13,2
83,7,13,2
82,7,13,1
91,7,13,2
83,7,13,2
35,7,13,2
84,7,13,2
92,7,13,2
35,7,13,1
84,7,13,2
83,7,13,2
90,7,13,2
89,1,14,2
84,1,14,1
87,1,14,2
87,1,14,2
89,1,14,2
92,1,14,2
93,1,14,2
82,1,14,1
87,1,14,2
89,1,14,2
84,1,14,1
85,1,14,1
92,1,14,2
4,1,14,2
5,1,14,1
85,1,14,2
86,1,14,2
5,1,14,1
92,1,14,2
86,1,14,2
5,1,14,2
93,1,14,2
87,1,14,2
82,1,14,1
4,1,14,2
87,1,14,2
90,1,14,2
86,1,14,2
35,1,14,1
5,1,14,2
90,1,14,2
91,1,14,2
7,1,14,2
89,1,14,2
6,1,14,2
83,1,14,2
84,5,11,2
88,5,11,1
92,5,11,2
84,5,11,2
88,5,11,1
86,5,11,1
86,5,11,1
84,5,11,2
84,5,11,2
84,5,11,2
90,5,11,2
90,5,11,1
92,5,11,2
85,5,11,2
90,5,11,2
82,5,11,1
4,5,11,2
89,5,11,1
87,5,11,2
5,5,11,1
89,5,11,1
93,5,11,1
7,5,11,1
83,5,11,2
83,5,11,1
7,5,11,1
88,5,11,2
93,5,11,1
84,5,11,2
87,5,11,2
84,5,11,2
89,5,11,1
90,5,11,2
7,5,11,1
85,5,11,2
5,5,11,1
93,9,12,1
35,9,12,1
7,9,12,1
4,9,12,2
82,9,12,2
82,9,12,2
5,9,12,1
86,9,12,1
87,9,12,2
90,9,12,2
86,9,12,1
5,9,12,2
91,9,12,2
93,9,12,1
92,9,12,1
7,9,12,2
88,9,12,2
88,9,12,2
87,9,12,2
90,9,12,1
93,9,12,1
86,9,12,2
35,9,12,1
86,9,12,1
82,9,12,2
82,9,12,2
85,9,12,1
92,9,12,1
5,9,12,2
88,9,12,2
90,9,12,1
85,9,12,1
87,9,12,1
7,9,12,1
35,9,12,1
4,9,12,2
90,4,14,1
91,4,14,1
82,4,14,1
88,4,14,2
4,4,14,2
93,4,14,2
86,4,14,2
7,4,14,1
7,4,14,1
6,4,14,2
89,4,14,2
91,4,14,1
88,4,14,2
83,4,14,1
87,4,14,2
86,4,14,2
87,4,14,2
90,4,14,1
83,4,14,1
83,4,14,1
93,4,14,2
82,4,14,1
88,4,14,2
88,4,14,2
4,4,14,1
4,4,14,2
82,4,14,2
85,4,14,1
7,4,14,1
93,4,14,2
86,4,14,2
89,4,14,2
93,4,14,2
35,4,14,2
6,4,14,1
88,4,14,1
7,8,13,1
85,8,13,1
89,8,13,2
84,8,13,2
87,8,13,2
35,8,13,2
90,8,13,2
91,8,13,1
82,8,13,2
5,8,13,2
6,8,13,2
88,8,13,2
86,8,13,2
88,8,13,2
6,8,13,2
89,8,13,2
84,8,13,2
86,8,13,2
84,8,13,2
4,8,13,2
88,8,13,2
4,8,13,1
84,8,13,2
93,8,13,2
5,8,13,1
91,8,13,1
93,8,13,1
35,8,13,2
89,8,13,2
83,8,13,2
85,8,13,1
90,8,13,1
92,8,13,1
86,8,13,2
6,8,13,2
82,8,13,1
85,3,11,1
82,3,11,2
35,3,11,1
93,3,11,2
85,3,11,1
7,3,11,2
4,3,11,2
88,3,11,2
84,3,11,2
86,3,11,1
82,3,11,2
84,3,11,2
84,3,11,2
5,3,11,1
93,3,11,2
35,3,11,1
85,3,11,2
91,3,11,2
90,3,11,2
82,3,11,2
92,3,11,1
91,3,11,2
92,3,11,1
91,3,11,2
88,3,11,2
35,3,11,1
84,3,11,2
84,3,11,2
90,3,11,2
35,3,11,1
84,3,11,2
87,3,11,1
84,3,11,2
83,3,11,1
85,3,11,1
93,3,11,1
87,12,13,2
88,12,13,2
88,12,13,2
90,12,13,2
82,12,13,1
83,12,13,2
82,12,13,1
5,12,13,1
82,12,13,2
5,12,13,1
93,12,13,2
5,12,13,1
83,12,13,2
5,12,13,1
7,12,13,2
92,12,13,1
87,12,13,2
92,12,13,2
92,12,13,2
85,12,13,2
4,12,13,2
85,12,13,2
92,12,13,2
87,12,13,2
5,12,13,1
7,12,13,1
92,12,13,1
91,12,13,2
91,12,13,2
82,12,13,2
92,12,13,2
89,12,13,2
7,12,13,1
87,12,13,2
5,12,13,2
88,12,13,2
85,3,9,2
90,3,9,2
35,3,9,1
84,3,9,1
5,3,9,2
5,3,9,1
92,3,9,1
82,3,9,1
88,3,9,2
4,3,9,1
91,3,9,2
91,3,9,2
85,3,9,2
85,3,9,2
89,3,9,2
87,3,9,2
87,3,9,2
4,3,9,2
85,3,9,2
87,3,9,1
83,3,9,1
89,3,9,1
85,3,9,2
84,3,9,1
91,3,9,2
35,3,9,1
6,3,9,1
93,3,9,2
4,3,9,1
82,3,9,1
5,3,9,2
86,3,9,1
82,3,9,1
85,3,9,1
83,3,9,2
4,3,9,1
89,6,7,1
85,6,7,2
87,6,7,2
90,6,7,2
89,6,7,1
85,6,7,2
4,6,7,1
90,6,7,2
83,6,7,2
88,6,7,2
91,6,7,2
5,6,7,1
90,6,7,2
89,6,7,1
35,6,7,2
89,6,7,1
85,6,7,1
6,6,7,2
7,6,7,2
83,6,7,1
5,6,7,1
92,6,7,2
6,6,7,2
82,6,7,2
90,6,7,2
87,6,7,2
